report_date,region,area_cluster,station_id,total_delivery_vol,delivery_buyer
2024-09-09,NCR,NCR1 Metro Manila West,13,6922,6026
2024-09-09,NCR,NCR1 Metro Manila West,434,19597,16091
2024-09-09,NCR,NCR1 Metro Manila West,1707,10935,9316
2024-09-09,NCR,NCR1 Metro Manila West,1770,9485,7626
2024-09-09,NCR,NCR1 Metro Manila West,2180,5485,4721
2024-09-09,NCR,NCR1 Metro Manila West,2266,11380,9905
2024-09-09,NCR,NCR1 Metro Manila West,3062,10244,8515
2024-09-09,NCR,NCR2 Metro Manila East,7,19182,15203
2024-09-09,NCR,NCR2 Metro Manila East,18,11760,10082
2024-09-09,NCR,NCR2 Metro Manila East,19,5999,5181
2024-09-09,NCR,NCR2 Metro Manila East,1232,9767,8337
2024-09-09,NCR,NCR2 Metro Manila East,1242,11131,9430
2024-09-09,NCR,NCR2 Metro Manila East,1365,14052,11936
2024-09-09,NCR,NCR2 Metro Manila East,2201,13551,11380
2024-09-09,NCR,NCR2 Metro Manila East,2384,9439,8159
2024-09-09,NCR,NCR2 Metro Manila East,2647,5338,4713
2024-09-09,NCR,NCR2 Metro Manila East,2680,8454,7303
2024-09-09,NOL,NOL5 Bulacan,903,12610,10882
2024-09-09,SOL,SOL1 Laguna/Tanay,20,8425,7276
2024-09-09,SOL,SOL2 Cavite,273,6758,5652
2024-09-09,SOL,SOL2 Cavite,1476,7090,6012
2024-09-09,SOL,SOL2 Cavite,1705,11233,9727
2024-09-09,SOL,SOL2 Cavite,2268,7729,6585
2024-09-10,NCR,NCR1 Metro Manila West,9,14945,11511
2024-09-10,NCR,NCR1 Metro Manila West,11,10072,8067
2024-09-10,NCR,NCR1 Metro Manila West,13,11648,9352
2024-09-10,NCR,NCR1 Metro Manila West,434,20065,16208
2024-09-10,NCR,NCR1 Metro Manila West,1707,16912,13702
2024-09-10,NCR,NCR1 Metro Manila West,1770,11518,9299
2024-09-10,NCR,NCR1 Metro Manila West,2180,10140,7944
2024-09-10,NCR,NCR1 Metro Manila West,2266,19202,15387
2024-09-10,NCR,NCR1 Metro Manila West,3062,15239,11888
2024-09-10,NCR,NCR2 Metro Manila East,7,20744,16554
2024-09-10,NCR,NCR2 Metro Manila East,18,15480,12528
2024-09-10,NCR,NCR2 Metro Manila East,19,11695,9141
2024-09-10,NCR,NCR2 Metro Manila East,1232,14428,11595
2024-09-10,NCR,NCR2 Metro Manila East,1242,20577,15670
2024-09-10,NCR,NCR2 Metro Manila East,1365,19726,15826
2024-09-10,NCR,NCR2 Metro Manila East,2201,16989,13964
2024-09-10,NCR,NCR2 Metro Manila East,2384,14445,11738
2024-09-10,NCR,NCR2 Metro Manila East,2647,12140,9340
2024-09-10,NCR,NCR2 Metro Manila East,2680,11840,9775
2024-09-10,NOL,NOL5 Bulacan,903,17934,14706
2024-09-10,SOL,SOL1 Laguna/Tanay,20,11107,9230
2024-09-10,SOL,SOL2 Cavite,273,7534,6208
2024-09-10,SOL,SOL2 Cavite,1476,9961,7952
2024-09-10,SOL,SOL2 Cavite,1705,14219,11814
2024-09-10,SOL,SOL2 Cavite,2268,8885,7320
2024-09-11,NCR,NCR1 Metro Manila West,9,15411,12020
2024-09-11,NCR,NCR1 Metro Manila West,11,10877,8766
2024-09-11,NCR,NCR1 Metro Manila West,13,11436,9386
2024-09-11,NCR,NCR1 Metro Manila West,434,21505,17420
2024-09-11,NCR,NCR1 Metro Manila West,1707,18910,15270
2024-09-11,NCR,NCR1 Metro Manila West,1770,12593,10098
2024-09-11,NCR,NCR1 Metro Manila West,2180,10628,8430
2024-09-11,NCR,NCR1 Metro Manila West,2266,21798,17226
2024-09-11,NCR,NCR1 Metro Manila West,3062,17133,12849
2024-09-11,NCR,NCR2 Metro Manila East,7,23504,18579
2024-09-11,NCR,NCR2 Metro Manila East,18,19953,15710
2024-09-11,NCR,NCR2 Metro Manila East,19,13504,10305
2024-09-11,NCR,NCR2 Metro Manila East,1232,16231,12875
2024-09-11,NCR,NCR2 Metro Manila East,1242,21635,16567
2024-09-11,NCR,NCR2 Metro Manila East,1365,17562,14381
2024-09-11,NCR,NCR2 Metro Manila East,2201,18674,15061
2024-09-11,NCR,NCR2 Metro Manila East,2384,15379,12344
2024-09-11,NCR,NCR2 Metro Manila East,2647,14109,10712
2024-09-11,NCR,NCR2 Metro Manila East,2680,14243,11448
2024-09-11,NOL,NOL5 Bulacan,903,20799,16684
2024-09-11,SOL,SOL1 Laguna/Tanay,20,14137,11493
2024-09-11,SOL,SOL2 Cavite,273,10182,8142
2024-09-11,SOL,SOL2 Cavite,1476,13031,10073
2024-09-11,SOL,SOL2 Cavite,1705,19593,15506
2024-09-11,SOL,SOL2 Cavite,2268,11621,9342
2024-09-12,NCR,NCR1 Metro Manila West,9,15444,12181
2024-09-12,NCR,NCR1 Metro Manila West,11,9729,8030
2024-09-12,NCR,NCR1 Metro Manila West,13,13229,10713
2024-09-12,NCR,NCR1 Metro Manila West,434,22826,18421
2024-09-12,NCR,NCR1 Metro Manila West,1707,16071,13313
2024-09-12,NCR,NCR1 Metro Manila West,1770,13269,10512
2024-09-12,NCR,NCR1 Metro Manila West,2180,10042,8164
2024-09-12,NCR,NCR1 Metro Manila West,2266,18835,15502
2024-09-12,NCR,NCR1 Metro Manila West,3062,14840,11684
2024-09-12,NCR,NCR2 Metro Manila East,7,21938,17702
2024-09-12,NCR,NCR2 Metro Manila East,18,18144,14661
2024-09-12,NCR,NCR2 Metro Manila East,19,11042,8989
