report_date,region,area_cluster,station_id,rr_pu_vol,rr_users
2024-09-08,NCR,NCR1 Metro Manila West,1770,33,26
2024-09-08,NCR,NCR1 Metro Manila West,2180,38,30
2024-09-08,NCR,NCR1 Metro Manila West,2266,66,52
2024-09-08,NCR,NCR1 Metro Manila West,3062,35,28
2024-09-08,NCR,NCR2 Metro Manila East,7,82,60
2024-09-08,NCR,NCR2 Metro Manila East,18,58,45
2024-09-08,NCR,NCR2 Metro Manila East,19,36,26
2024-09-08,NCR,NCR2 Metro Manila East,1232,47,40
2024-09-08,NCR,NCR2 Metro Manila East,1242,47,39
2024-09-08,NCR,NCR2 Metro Manila East,1365,61,53
2024-09-08,NCR,NCR2 Metro Manila East,2201,98,80
2024-09-08,NCR,NCR2 Metro Manila East,2384,54,49
2024-09-08,NCR,NCR2 Metro Manila East,2647,44,34
2024-09-08,NCR,NCR2 Metro Manila East,2680,43,38
2024-09-08,NOL,NOL5 Bulacan,903,49,44
2024-09-08,SOL,SOL1 Laguna/Tanay,20,37,31
2024-09-08,SOL,SOL2 Cavite,273,15,14
2024-09-08,SOL,SOL2 Cavite,1476,47,44
2024-09-08,SOL,SOL2 Cavite,1705,43,38
2024-09-08,SOL,SOL2 Cavite,2268,57,48
2024-09-09,NCR,NCR1 Metro Manila West,9,59,45
2024-09-09,NCR,NCR1 Metro Manila West,11,39,36
2024-09-09,NCR,NCR1 Metro Manila West,13,69,57
2024-09-09,NCR,NCR1 Metro Manila West,434,81,66
2024-09-09,NCR,NCR1 Metro Manila West,1707,61,49
2024-09-09,NCR,NCR1 Metro Manila West,1770,41,36
2024-09-09,NCR,NCR1 Metro Manila West,2180,54,46
2024-09-09,NCR,NCR1 Metro Manila West,2266,75,60
2024-09-09,NCR,NCR1 Metro Manila West,3062,58,46
2024-09-09,NCR,NCR2 Metro Manila East,7,93,67
2024-09-09,NCR,NCR2 Metro Manila East,18,60,46
2024-09-09,NCR,NCR2 Metro Manila East,19,52,45
2024-09-09,NCR,NCR2 Metro Manila East,1232,52,42
2024-09-09,NCR,NCR2 Metro Manila East,1242,75,61
2024-09-09,NCR,NCR2 Metro Manila East,1365,71,58
2024-09-09,NCR,NCR2 Metro Manila East,2201,77,67
2024-09-09,NCR,NCR2 Metro Manila East,2384,45,44
2024-09-09,NCR,NCR2 Metro Manila East,2647,41,38
2024-09-09,NCR,NCR2 Metro Manila East,2680,47,41
2024-09-09,NOL,NOL5 Bulacan,903,76,65
2024-09-09,SOL,SOL1 Laguna/Tanay,20,56,53
2024-09-09,SOL,SOL2 Cavite,273,42,36
2024-09-09,SOL,SOL2 Cavite,1476,29,24
2024-09-09,SOL,SOL2 Cavite,1705,56,50
2024-09-09,SOL,SOL2 Cavite,2268,40,37
2024-09-10,NCR,NCR1 Metro Manila West,9,44,35
2024-09-10,NCR,NCR1 Metro Manila West,11,44,37
2024-09-10,NCR,NCR1 Metro Manila West,13,44,38
2024-09-10,NCR,NCR1 Metro Manila West,434,89,77
2024-09-10,NCR,NCR1 Metro Manila West,1707,52,44
2024-09-10,NCR,NCR1 Metro Manila West,1770,41,31
2024-09-10,NCR,NCR1 Metro Manila West,2180,45,33
2024-09-10,NCR,NCR1 Metro Manila West,2266,58,47
2024-09-10,NCR,NCR1 Metro Manila West,3062,60,47
2024-09-10,NCR,NCR2 Metro Manila East,7,107,76
2024-09-10,NCR,NCR2 Metro Manila East,18,60,44
2024-09-10,NCR,NCR2 Metro Manila East,19,32,22
2024-09-10,NCR,NCR2 Metro Manila East,1232,52,44
2024-09-10,NCR,NCR2 Metro Manila East,1242,58,47
2024-09-10,NCR,NCR2 Metro Manila East,1365,78,63
2024-09-10,NCR,NCR2 Metro Manila East,2201,89,67
2024-09-10,NCR,NCR2 Metro Manila East,2384,59,40
2024-09-10,NCR,NCR2 Metro Manila East,2647,47,40
2024-09-10,NCR,NCR2 Metro Manila East,2680,41,36
2024-09-10,NOL,NOL5 Bulacan,903,51,40
2024-09-10,SOL,SOL1 Laguna/Tanay,20,55,45
2024-09-10,SOL,SOL2 Cavite,273,57,45
2024-09-10,SOL,SOL2 Cavite,1476,52,41
2024-09-10,SOL,SOL2 Cavite,1705,54,50
2024-09-10,SOL,SOL2 Cavite,2268,57,48
2024-09-11,NCR,NCR1 Metro Manila West,9,38,34
2024-09-11,NCR,NCR1 Metro Manila West,11,45,41
2024-09-11,NCR,NCR1 Metro Manila West,13,63,54
2024-09-11,NCR,NCR1 Metro Manila West,434,98,80
2024-09-11,NCR,NCR1 Metro Manila West,1707,64,52
2024-09-11,NCR,NCR1 Metro Manila West,1770,55,42
2024-09-11,NCR,NCR1 Metro Manila West,2180,44,36
2024-09-11,NCR,NCR1 Metro Manila West,2266,74,60
2024-09-11,NCR,NCR1 Metro Manila West,3062,51,47
2024-09-11,NCR,NCR2 Metro Manila East,7,127,93
2024-09-11,NCR,NCR2 Metro Manila East,18,51,43
2024-09-11,NCR,NCR2 Metro Manila East,19,62,54
2024-09-11,NCR,NCR2 Metro Manila East,1232,40,34
2024-09-11,NCR,NCR2 Metro Manila East,1242,76,53
2024-09-11,NCR,NCR2 Metro Manila East,1365,84,65
2024-09-11,NCR,NCR2 Metro Manila East,2201,74,60
2024-09-11,NCR,NCR2 Metro Manila East,2384,52,44
2024-09-11,NCR,NCR2 Metro Manila East,2647,48,42
2024-09-11,NCR,NCR2 Metro Manila East,2680,43,37
2024-09-11,NOL,NOL5 Bulacan,903,58,49
2024-09-11,SOL,SOL1 Laguna/Tanay,20,60,51
2024-09-11,SOL,SOL2 Cavite,273,32,29
2024-09-11,SOL,SOL2 Cavite,1476,53,39
2024-09-11,SOL,SOL2 Cavite,1705,57,48
2024-09-11,SOL,SOL2 Cavite,2268,57,48
2024-09-12,NCR,NCR1 Metro Manila West,9,44,38
2024-09-12,NCR,NCR1 Metro Manila West,11,60,51
2024-09-12,NCR,NCR1 Metro Manila West,13,67,57
2024-09-12,NCR,NCR1 Metro Manila West,434,109,88
2024-09-12,NCR,NCR1 Metro Manila West,1707,58,50
2024-09-12,NCR,NCR1 Metro Manila West,1770,58,52
2024-09-12,NCR,NCR1 Metro Manila West,2180,60,44
